bidx,month,mean_mm,sd_mm,p10_mm,p20_mm,p50_mm,n_years
19,3,439.26782,67.04526,372.25433,388.18237,429.70663,21
19,4,428.06567,77.73025,356.26996,363.7049,417.5316,21
19,5,341.2266,96.174355,194.61789,290.4978,333.04544,21
19,6,208.42845,63.113247,150.4011,168.90863,198.73166,21
19,7,164.29883,55.411568,86.87182,105.32228,181.71617,21
19,8,99.9921,27.78087,67.7475,77.67012,103.17323,21
19,9,41.99804,14.653008,23.950422,28.685957,41.245823,21
19,10,56.79377,23.93911,28.474133,36.238544,50.07707,21
19,11,87.49419,51.476444,31.007624,40.911194,83.804504,21
19,12,162.06961,64.957596,102.10421,119.958206,170.86305,21
20,1,306.20227,75.90785,187.61061,252.90036,305.07144,21
20,2,373.05515,60.69066,311.30206,324.22717,377.4706,21
20,3,438.20767,59.421417,369.68573,383.14722,438.25003,21
20,4,421.3218,62.911934,342.4154,376.27032,407.18628,21
20,5,322.12988,90.340034,219.78458,247.3233,323.73526,21
20,6,202.11928,63.952984,131.2108,154.17886,188.49986,21
20,7,149.06505,42.174522,99.89173,100.830605,152.15291,21
20,8,103.16542,23.321524,69.55686,77.3644,110.26756,21
20,9,67.02479,23.246819,43.129032,52.224426,61.085926,21
20,10,64.6442,21.920788,35.11761,50.565903,63.927246,21
20,11,73.38516,38.248413,29.901062,43.150883,64.12476,21
20,12,166.65901,54.456913,86.70198,131.33478,168.39066,21
21,1,324.83258,104.59107,157.90665,203.62975,367.70584,21
21,2,334.33505,79.0715,220.3528,272.54474,343.75546,21
21,3,422.45786,76.86682,343.92197,363.2268,405.63535,21
21,4,411.9416,65.41397,329.6262,340.77792,423.57352,21
21,5,299.5181,68.728096,223.3677,255.87213,299.8475,21
21,6,190.79236,69.5127,110.25585,149.76476,180.46233,21
21,7,146.06941,50.156624,92.53561,100.694664,133.21515,21
21,8,90.27299,22.274868,63.337612,68.17213,97.396645,21
21,9,63.3467,37.486942,17.596924,21.538862,63.25648,21
21,10,54.71292,30.285645,22.716887,30.115772,45.77298,21
21,11,72.59759,47.673134,14.658871,41.073967,58.50758,21
21,12,170.83488,75.90645,96.08083,106.42664,154.44365,21
22,1,347.98892,80.779434,223.04333,318.60324,359.21906,21
22,2,408.3349,88.50218,323.23566,351.50113,399.2929,21
22,3,506.47498,97.91567,397.58487,454.11752,497.73038,21
22,4,428.84235,79.31921,344.78027,363.44333,422.44897,21
22,5,331.43655,91.75811,236.49889,249.5216,303.9151,21
22,6,170.03473,62.48821,105.66621,128.51509,145.1914,21
22,7,129.0408,45.146046,77.31703,91.00954,125.861015,21
22,8,85.97426,28.952822,48.063442,58.481968,81.40442,21
